,modelname,check,check_compound,checkTF,checkTF_compound,norm,norm_compound,lognorm,lognorm_compound,normX,normX_compound,lognormX,lognormX_compound,alpha,alpha_compound,alpha_weighted,alpha_weighted_compound,spectralnorm,spectralnorm_compound,logspectralnorm,logspectralnorm_compound,softrank,softrank_compound,softranklog,softranklog_compound,softranklogratio,softranklogratio_compound,sigma_mp,sigma_mp_compound,numofSpikes,numofSpikes_compound,ratio_numofSpikes,ratio_numofSpikes_compound,softrank_mp,softrank_mp_compound,logpnorm,logpnorm_compound
175,preresnet18_wd2,1.902620930128874,1.096843037077294,0.6212121212121212,0.6170892599464028,10.24204158782959,10.30000782012939,0.9759334921836853,0.9480512142181396,16.22791290283203,15.31607246398926,1.13095235824585,1.037192106246948,3.480640932282363,3.797854942626763,2.878200853267636,2.393368207978449,17.6223030090332,8.64192008972168,0.9254297614097595,0.6821598410606384,15.20324353403227,23.493252864046,1.130557343410281,1.234126650577964,2.373697996139526,1.60594642162323,0.9391402383452482,0.8529628126356337,5.893203883495145,8.525925925925925,0.04219471099240436,0.04780403150952118,0.5850338631081028,0.5922337949724181,3.222546131235399,2.802519176785231
176,preresnet18_w3d4,1.884080211535103,1.023955706222977,0.6919191919191919,0.6919191919191919,11.01260185241699,10.9281759262085,1.016338229179382,0.9893683195114136,16.37405586242676,15.15839576721191,1.151800632476807,1.059698224067688,3.596649643080357,3.893834900354842,3.023625364201793,2.57623173657806,19.64899063110352,8.999296188354492,0.9480767250061035,0.6837006211280823,17.90239931885798,26.90869434695643,1.201229450910675,1.306685957748226,3.190232276916504,6.668190002441406,0.91885275238926,0.8378299877025461,5.155339805825243,6.422222222222222,0.02825574578486969,0.03180166726199465,0.5605419522690978,0.5758291150301109,3.356972618137848,2.969173031582011
177,preresnet18,1.583540763906833,0.8750009881490405,0.7360406091370558,0.7585573912104524,8.763742446899414,8.909542083740234,0.909668505191803,0.8818312883377075,11.1614351272583,11.43085193634033,0.9826371669769287,0.9045717120170593,3.276992978069726,3.402887396663027,2.296271887920191,2.025262899694205,14.41502380371094,7.060928344726562,0.8437705039978027,0.5967097282409668,16.10501601641365,20.98614991508321,1.145791382561877,1.204990907477019,2.855043888092041,1.888497114181519,0.9056129084406673,0.8367564425998266,3.655405405405405,7.272222222222223,0.02401832627488848,0.03064889954831391,0.7718580616003466,0.7419894369968519,2.669200832111347,2.429280015317584
178,resnext29_32x4d_cifar100,1.779349658113723,0.713932497426327,0.02678571428571428,0.01041666666666667,9.136209487915039,9.136209487915039,0.9023332595825195,0.9023332595825195,10.35342311859131,10.35342311859131,0.8877392411231995,0.8877392411231995,4.443612495731667,4.443612495731667,2.117944540241556,2.117944540241556,6.917530536651611,5.05873441696167,0.714876651763916,0.5417076349258423,29.26488531582694,29.26488531582694,1.3730661035189,1.3730661035189,6.119417190551758,6.119417190551758,0.5135899283669213,0.5135899283669213,39.72727272727273,39.72727272727273,0.171026678584084,0.171026678584084,0.3526620923312707,0.3526620923312707,2.609359571464455,2.609359571464455
179,resnext29_32x4d_svhn,1.192225848824503,0.4788955123675578,0.5446428571428571,0.2118055555555556,5.208126544952393,5.208126544952393,0.68132483959198,0.68132483959198,3.595618486404419,3.595618486404419,0.5077674388885498,0.5077674388885498,3.433138454333077,3.433138454333077,0.2611290967934308,0.2611290967934308,3.60558557510376,2.423142194747925,0.4349478185176849,0.2385800778865814,24.47546455572319,24.47546455572319,1.288871561109953,1.288871561109953,8.837410926818848,8.837410926818848,0.4003603980654763,0.4003603980654763,22.0,22.0,0.07763266765976036,0.07763266765976036,0.5828446352000541,0.5828446352000541,0.9098634313979792,0.9098634313979792
180,resnext29_16x64d_cifar10,0.6594328593124816,0.2657384228867545,0.6964285714285714,0.2708333333333333,7.106297016143799,6.369916439056396,0.8179086446762085,0.7684906721115112,5.664865493774414,4.546752452850342,0.7010919451713562,0.6012207269668579,4.081757588508953,2.957138775058707,1.272379995198079,0.6044937274580515,2.999338150024414,2.371909618377686,0.3289451599121094,0.2110152244567871,27.19106002311021,28.45377152153617,1.358593278080693,1.376417120077046,17.30835914611816,37.60320281982422,0.4839367316750919,0.369445543077257,42.83333333333334,49.9,0.2419321755325094,0.1633797693701711,0.218154901721846,0.2055398873967178,1.680570072562177,1.315253147540158
181,resnext29_16x64d_cifar100,0.9846537717060546,0.3937197312082524,0.6964285714285714,0.2708333333333333,10.99521064758301,10.11566066741943,0.9850418567657471,0.9415045976638794,12.79198360443115,11.04945087432861,0.998115599155426,0.9090161919593811,4.805467064236278,3.715259674922048,2.832614411140455,2.060983492785165,5.360336303710938,4.450718402862549,0.5813482403755188,0.4687153398990631,33.82758033834155,33.06371314660237,1.441633973757016,1.437417949251222,4.468346118927002,5.905306339263916,0.6787190242878443,0.4792420761217782,59.28155339805825,78.94623655913978,0.2985504591334802,0.2467407350109489,0.2252591444290348,0.1603021847884459,3.17383855441788,2.65190776589094
182,resnext29_16x64d_svhn,0.5957015133112536,0.2403042117924338,0.4285714285714285,0.1666666666666667,6.461294651031494,5.758444786071777,0.7588188052177429,0.7104970812797546,5.107414722442627,4.0972580909729,0.6059435606002808,0.5190137624740601,3.380461087984436,2.314358624170215,0.8925991684478141,0.3571379745815238,3.052910566329956,2.273079872131348,0.2931859791278839,0.1506507694721222,23.87549275284563,26.31928297316231,1.299965546411061,1.332081040137031,-2.094793319702148,-8.431764602661133,0.4403082036037071,0.3535647831669561,40.18627450980392,42.29259259259258,0.2254536183934601,0.1389013676764086,0.2055114788289817,0.2202917334756105,1.336615914841089,1.157195148899521
183,resnext272_1x64d_cifar10,0.2446752163315813,0.1052762876076969,0.01595214356929212,0.006464646464646465,2.436984777450562,2.209534406661987,0.2998298406600952,0.2586807906627655,1.454562187194824,1.068922162055969,-0.0091259079053998,-0.1445093601942062,1.900731100498347,2.003681609623674,-0.4736240058464651,-0.8447904797889411,0.8475219011306763,0.5808269381523132,-0.2484546452760696,-0.4235255718231201,10.56047012015321,13.38253773065176,0.8547455403635978,0.9487326959969041,-14.65078639984131,-5.723493099212646,0.802285072657037,0.5051475913048179,0.8841893252769386,3.203093203093203,0.004426845405840216,0.01596027043672035,5.954593706701263,2.965352350870861,0.03857962278914089,-0.2626080577616689
184,resnext272_1x64d_cifar100,0.3157444638792358,0.1352117922056163,0.2851445663010967,0.1155555555555556,3.386682987213135,3.119597673416138,0.3629732728004456,0.3254765570163727,2.738152980804443,2.131306648254395,0.115510493516922,-0.01067902240902185,2.325858750765736,2.491752780174155,-0.1065445222579878,-0.4791406384338711,1.465884327888489,0.9983196258544922,-0.125300258398056,-0.2953732311725616,12.1873994201673,15.20637031153346,0.8571962026014713,0.949309585490862,-0.1283911913633347,-7.767561912536621,0.8165651712091399,0.5228701235855487,2.520120724346076,8.921735604217355,0.01215761169854125,0.04268633496752371,6.691734921899569,3.321554405143883,0.3225758349213249,0.01156758550632222
185,resnext272_1x64d_svhn,0.2162493550200096,0.09295438452850859,0.001994017946161515,0.0008080808080808081,2.093305826187134,1.895456790924072,0.2376951277256012,0.1953727304935455,1.139620423316956,0.8300384283065796,-0.1123185008764267,-0.2581444978713989,1.741511747936865,1.709041633498518,-0.5448589018071237,-0.8754490733471134,0.7526834607124329,0.4870948791503906,-0.3237099051475525,-0.5249769687652588,8.867345743768723,11.70612632353638,0.8124580486991567,0.9264377002650372,-6.321726322174072,-3.09708571434021,0.8073069100893757,0.5076268935057997,0.5417925478348439,1.967439967439967,0.002613667909761675,0.0094940893612212,6.756828468480854,3.444726062562927,-0.03536819331893692,-0.2441965681384042
186,resnext272_2x32d_cifar10,0.2912588201325585,0.1249752465801607,0.02691924227318046,0.01090909090909091,2.681557416915894,2.345101118087769,0.3891193866729736,0.3215256333351135,1.385122418403625,1.020157933235168,0.04025109112262726,-0.1016264632344246,2.402009353012249,2.16826372065184,-0.6670413334279519,-0.9030890253917391,0.7558598518371582,0.5473710298538208,-0.2868212163448334,-0.4181145131587982,13.80037938381857,15.27105393327727,1.075512455790033,1.086510315678683,-1.442621231079102,-1.174907565116882,0.3332676449850882,0.3130803056323588,4.878284923928078,5.080475537265661,0.04118157265119507,0.0315959541650716,0.667331619832363,0.7282704731272158,-0.06826103297240876,-0.2369065934076825
187,resnext272_2x32d_cifar100,0.37434390754698,0.1600835255855519,0.292123629112662,0.1183838383838384,3.917320013046265,3.385892391204834,0.5199159979820251,0.4280048012733459,2.822279453277588,2.129151105880737,0.2902538478374481,0.1081780269742012,2.923560429524531,2.752150784052291,-0.007010005217627908,-0.4094614408471245,1.204358220100403,0.9013441801071167,-0.107891820371151,-0.2412049174308777,16.10684815416896,17.6479260887246,1.105263888283092,1.100100218653322,6.464190006256104,2.287860631942749,0.3992451318983215,0.3501880595028292,8.48342541436464,11.81693989071038,0.06757031298761382,0.06709962504560335,0.5450441548177953,0.608581413293083,0.5371938851996205,0.1674736350957688
188,resnext272_2x32d_svhn,0.2384506786415569,0.1020648549535655,0.00897308075772682,0.003636363636363636,2.376604557037354,1.996756553649902,0.3285684287548065,0.2250424325466156,1.189113736152649,0.8209713101387024,-0.03558544814586639,-0.247232049703598,2.118571082166829,1.879562011013922,-0.6479778334859362,-0.9684480933210882,0.6143180727958679,0.431987076997757,-0.423434853553772,-0.5663674473762512,11.65036480574413,13.24572498535481,0.9904276611810987,1.010142451912847,0.129515677690506,0.1193043291568756,0.3215638996720479,0.3101382263490582,4.235131396957123,3.583904892546868,0.03861207532208411,0.02354766478038735,0.7433936996637145,1.07840768186529,-0.07451869950765061,-0.3039910424852364
189,seresnet20_cifar10,1.20965901290004,0.8160808424672426,0.7311827956989247,0.4444444444444444,6.993050098419189,6.993050575256348,0.8344489336013794,0.8344489932060242,9.915373802185059,9.915372848510742,0.9684432744979858,0.9684432148933411,3.869651698079803,3.869651698079802,2.306870958812334,2.306870958812334,4.209957599639893,3.438591957092285,0.5375702381134033,0.3997897803783417,12.14024679158103,12.14024679158103,1.073164868922322,1.073164868922322,2.899321794509888,2.899321794509888,0.9940668402777783,0.9940668402777781,1.0,0.9999999999999998,0.01587301587301587,0.01587301587301587,1.039680020783752,1.039680020783752,2.768294294757078,2.768294294757078
190,seresnet20_cifar100,1.542909641784671,1.036760427083788,0.3870967741935484,0.2352941176470588,10.51079845428467,11.51869678497314,1.017135858535767,1.049915671348572,20.65062141418457,23.58906364440918,1.298233985900879,1.344020843505859,4.122876452812834,4.471202097188784,3.623220150619026,4.054783196602855,6.576152324676514,5.198752880096436,0.7394773364067078,0.5968995094299316,14.21141148415117,16.45002310065121,1.13839445694984,1.187105527077668,2.30245566368103,2.324793100357056,1.089661152051843,1.076377860175239,5.760869565217392,12.16666666666667,0.09144237405106968,0.1931216931216931,0.620380615305609,0.5754221391280264,4.099871022869149,4.53235149679815
191,seresnet20_svhn,1.045423442509267,0.717431151267786,0.8709677419354839,0.5294117647058824,6.112101078033447,6.112100601196289,0.774379551410675,0.7743796110153198,8.162373542785645,8.162373542785645,0.8781114220619202,0.8781115412712097,3.193806076969639,3.193806076969638,1.793695742560473,1.793695742560473,3.457710266113281,2.906416416168213,0.4588846862316132,0.359643965959549,10.10408878870569,10.10408878870569,0.9889920245036629,0.9889920245036627,3.406180858612061,3.406180858612061,0.976238715277778,0.9762387152777781,0.8666666666666667,0.8666666666666666,0.01375661375661376,0.01375661375661376,1.152783765438391,1.152783765438391,2.230267547263661,2.230267547263661
192,seresnet56_cifar10,0.8081711926550863,0.540713786179598,0.9119850187265918,0.5756501182033097,4.816093444824219,4.816092967987061,0.6767034530639648,0.6767035126686096,4.728550910949707,4.728549957275391,0.6539060473442078,0.653905987739563,3.256485789015453,3.256485789015453,0.9544580024850335,0.9544580024850335,2.035405397415161,1.616854906082153,-0.1273248493671417,-1.853943705558777,11.82854187571428,11.82854187571428,1.062986621947782,1.062986621947782,5.022826194763184,5.022825717926025,0.9497381791258174,0.9497381791258173,0.0784313725490196,0.07843137254901962,0.001244942421413009,0.001244942421413009,1.911653973835752,1.911653973835752,1.465880789352795,1.465880789352795
193,seresnet56_cifar100,1.079790466762382,0.7564663290214036,0.848314606741573,0.5354609929078014,7.460867881774902,7.84726619720459,0.866948127746582,0.8826186656951904,10.7302074432373,11.82464790344238,1.005885481834412,1.031130433082581,3.890890294599471,3.888150903154314,2.350211111393241,2.433579060895037,3.500882387161255,3.037391901016235,0.433227002620697,0.2485449910163879,13.46746838183665,13.82382679702065,1.116496357969771,1.12633005792472,2.969453811645508,2.933900594711304,0.996731045215161,0.9968924223346476,1.220779220779221,2.691358024691358,0.01937744794887652,0.04271996864589457,1.010885244108573,0.9751292076119914,2.824396999572762,2.908804207864841
